X,Y,X,Y,X,Y,X,Y
623.537,1630,622.148,561,622.148,8501,624.379,38228
625.633,1933,624.246,665,624.246,8772,626.475,36968
627.729,2003,626.343,615,626.343,8656,628.57,35996
629.825,2103,628.44,622,628.44,8807,630.664,34488
631.92,1920,630.536,566,630.536,8758,632.758,32936
634.014,1762,632.631,526,632.631,8662,634.851,31445
636.108,1710,634.726,506,634.726,9129,636.944,30262
638.201,1758,636.821,499,636.821,9027,639.036,29352
640.293,1826,638.915,668,638.915,9312,641.128,28155
642.385,2193,641.008,702,641.008,9287,643.219,27769
644.477,2418,643.1,935,643.1,9374,645.309,26178
646.568,2474,645.192,1069,645.192,9720,647.399,25169
648.658,2357,647.284,976,647.284,9580,649.488,24850
650.748,2366,649.375,906,649.375,9371,651.577,24104
652.837,1984,651.465,591,651.465,9467,653.665,23478
654.926,1761,653.555,578,653.555,8806,655.753,22536
657.014,1857,655.644,590,655.644,8886,657.84,21706
659.101,1759,657.733,530,657.733,8886,659.926,21361
661.188,1840,659.821,559,659.821,8764,662.012,21256
663.274,1769,661.909,597,661.909,8864,664.098,20401
665.36,1900,663.996,639,663.996,8611,666.182,19829
667.445,1820,666.082,542,666.082,8391,668.267,19704
669.53,1977,668.168,588,668.168,8683,670.35,19288
671.614,1994,670.253,623,670.253,8233,672.433,19315
673.697,1956,672.338,581,672.338,8479,674.516,18797
675.78,1978,674.422,779,674.422,8299,676.598,18290
677.862,2087,676.505,876,676.505,8364,678.679,17788
679.944,2379,678.588,949,678.588,8700,680.76,17709
682.025,1996,680.671,1132,680.671,8571,682.84,17395
684.106,1997,682.753,984,682.753,8633,684.92,17702
686.186,1990,684.834,813,684.834,8240,686.999,16708
688.265,1582,686.915,656,686.915,8214,689.077,17099
690.344,1568,688.995,526,688.995,8108,691.155,16688
692.423,1823,691.074,533,691.074,8131,693.232,16635
694.5,1945,693.153,703,693.153,8307,695.309,16065
696.578,1804,695.232,752,695.232,8513,697.385,16028
698.654,1733,697.31,800,697.31,8646,699.461,16318
700.73,2134,699.387,792,699.387,8407,701.536,16031
702.806,1892,701.464,837,701.464,8617,703.611,16032
704.881,2074,703.54,803,703.54,8731,705.684,16110
706.955,2172,705.615,843,705.615,8574,707.758,15606
709.029,2254,707.69,942,707.69,8944,709.831,15412
711.102,2038,709.765,810,709.765,8751,711.903,15775
713.175,1759,711.839,778,711.839,8845,713.975,15062
715.247,1786,713.912,620,713.912,8498,716.046,15396
717.318,1834,715.985,620,715.985,9076,718.116,15199
719.389,1996,718.057,591,718.057,8811,720.186,15076
721.46,2070,720.129,741,720.129,8498,722.255,15002
723.53,1976,722.2,859,722.2,8870,724.324,14750
725.599,1934,724.27,677,724.27,8935,726.393,14403
727.667,1780,726.34,688,726.34,9045,728.46,14247
729.736,1779,728.409,744,728.409,9228,730.527,14505
731.803,2031,730.478,847,730.478,9290,732.594,14327
733.87,2092,732.546,972,732.546,9493,734.66,14259
735.937,2143,734.614,952,734.614,9268,736.725,13542
738.002,2564,736.681,1227,736.681,9819,738.79,13896
740.068,2552,738.748,1296,738.748,9871,740.854,13606
742.132,2782,740.813,1429,740.813,9572,742.918,13205
744.197,2590,742.879,1205,742.879,9422,744.981,13295
746.26,2642,744.944,1186,744.944,9513,747.044,12791
